City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,h_place_id,h_name,h_category,h_col,h_word
UDAIPUR,8260819204,2015-16,G.P.S.PALIYA FALA,KHERWARA,G.U.P.S.(KHARADIWARA),PAHADA1,Rajasthan,313804,,,,,,,
UDAIPUR,8260819205,2015-16,SARSVATI BAL NIKETAN,KHERWARA,G.U.P.S.(KHARADIWARA),PAHADA1,Rajasthan,313804,,,,,,,
CHURU,8040700302,2015-16,GPS DHANI NADIYA ,BIDASAR,GUPS RUPELI ,HEMASAR ATHUNA,Rajasthan,331503,,,,,,,
CHURU,8040700303,2015-16,GPS BHARUNJI KA RASTA ,BIDASAR,GUPS RUPELI ,HEMASAR ATHUNA,Rajasthan,331503,,,,,,,
CHURU,8040700401,2015-16,GUPS ,BIDASAR,GUPS RUPELI ,RUPELI,Rajasthan,331503,,ChIJQ_uzsjnUajkRI1COeCesKJE,,,,,
CHURU,8040700402,2015-16,VIVEKANAND SS ,BIDASAR,GUPS RUPELI ,RUPELI,Rajasthan,331503,,,,,,,
GANGANAGAR,8010797404,2015-16,PVT MATA GUJRI RSNR,RAISINGHNAGAR,"GOVT.SEN.SEC.SCH, RAISINGHNAGAR",NP RAISINGHNAGAR_WORD 22,Rajasthan,335051,,,,,,,
GANGANAGAR,8010617701,2015-16,"PVT.BABY AARZOO PUB.SCH.,",GHARASANA,GPS 10 KPD,19 RJD,Rajasthan,335707,,,,,,,
GANGANAGAR,8010617901,2015-16,"GOVT.PRIMARY SCH.,",GHARASANA,GPS 10 KPD,16 RJD,Rajasthan,335707,,,,,,,
GANGANAGAR,8010951704,2015-16,GOVT.PRIMARY SCH. ,ANOOPGARH,GPS 7 A,5 PGM,Rajasthan,335705,,,,,,,
UDAIPUR,8260204801,2015-16,G.P.S.,BADGAON,G.U.P.S.(MOTA BHILWARA),JINDOLI,Rajasthan,313002,,,,,,,
UDAIPUR,8260204802,2015-16,G.P.S.VELAGARH,BADGAON,G.U.P.S.(MOTA BHILWARA),JINDOLI,Rajasthan,313202,,,,,,,
UDAIPUR,8260819210,2015-16,G.SEC.S.PAHADA,KHERWARA,G.U.P.S.(KHARADIWARA),PAHADA1,Rajasthan,313804,,,ChIJgw2rk-TlZzkR1uVj935MPk4,ROYAL ACADEMY SECONDARY SCHOOL,C,City,udaipur
UDAIPUR,8260822001,2015-16,G.S.SEC.S.SUVERI,KHERWARA,G.U.P.S.(VANIBOR),SUBERI,Rajasthan,313803,,,,,,,
CHURU,8040410207,2015-16,MADARSA TALIMUL ISLAM ,CHURU,"GHANGHU,GUPS BAS JAISE KA",GHANGHU,Rajasthan,331001,,,,,,,
